RecordID,Temperature,Humidity,PM2.5 Concentration,PM10 Concentration,Nitrogen dioxide levels,Sulfur dioxide levels,Carbon monoxide levels,Proximity_to_Industrial_Areas,Population_Density,Air Quality
886,18.8,54.5,8.8,13.6,20.1,6,0.97,10.5,494,Good
887,27.3,65.1,15.1,24.5,29,12.8,1.54,6.9,485,Moderate
888,35.6,95.7,13.9,30,37.6,12.1,2,12.3,552,Poor
889,33.7,59.5,13.7,21.5,19.6,2.3,1.02,11.7,511,Good
890,23.6,52,7.2,11.9,19,5.5,1.01,12.6,581,Good
891,37.7,64.9,13.5,27.2,38.4,9.6,2.23,3.6,641,Poor
892,32.3,68.8,4.3,6.5,28.1,9.4,1.5,5.1,438,Moderate
893,29.8,75.7,4.7,13,21.9,10.1,1.48,5.5,351,Moderate
894,19.7,50.7,4.4,9,10.4,5.6,0.8,17.4,383,Good
895,25.9,76.9,27.2,33,22.2,4.9,0.9,11.6,336,Good
896,32.1,100.8,51.2,69.4,48.2,17.7,2.37,2.6,796,Hazardous
897,36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846,Hazardous
898,27,48.8,26.6,30.2,13.4,5.6,1.09,11.7,337,Good
899,29.8,54.4,3.6,11.2,15,7.4,0.75,10.5,365,Good
900,33.8,72.1,0.6,14.2,32.5,17.5,1.59,14.5,646,Moderate
901,25.3,54.9,0.8,6.8,27.7,4.6,0.99,12,279,Good
902,16.8,57.1,22,25.6,13,6.4,1.05,10.4,231,Good
903,34,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate
904,25.1,78.5,39.9,54.2,37.5,19.8,2.2,3.4,463,Poor
905,30.4,91.7,8.3,19.2,36.2,18.8,2.25,3.4,417,Poor
906,26.1,88.5,33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate
907,33.6,79.4,18.1,32.1,31.7,15.3,1.86,6.1,691,Poor
908,30.3,89,6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate
909,32.5,89,12.2,34.2,38.7,13.5,1.88,5.3,688,Poor
910,27.5,68.3,0.4,6.2,27,9.3,1.12,11.6,465,Good
911,23.9,44.8,1,4.7,26,3.5,1.02,10.6,262,Good
912,25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261,Good
913,32.6,82.7,71.2,87.5,30.3,15.8,2.31,6.3,712,Poor
914,37,76.5,22.5,35,38,26.9,2.31,3.7,774,Poor
915,28,75.5,70,88.9,41.7,23.3,2.42,4.2,678,Poor
916,32.4,56.5,0,13.9,27.2,5.3,1,5.4,412,Moderate
917,41.1,70.1,45.2,60,28.5,15.7,2.43,6,759,Hazardous
918,29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670,Moderate
919,24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,Good
920,37.9,96.9,43.3,51.1,31.9,10.6,1.23,7.2,293,Moderate
921,43.6,93.3,75.6,90.4,33.6,17.9,1.98,9.6,425,Poor
922,33.7,66.5,67.2,77.4,32.7,6.2,1.24,13.8,461,Moderate
923,34.7,86.1,14.6,26.3,22.2,10.6,1.8,5.8,643,Moderate
924,26.9,81.9,28,40.2,23.5,8.7,1.41,5.9,379,Moderate
925,18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,Good
926,27.7,73.5,8.4,16.1,32.7,9.3,1.48,5.2,638,Moderate
927,20.9,78.1,16.9,22.9,13.2,6.9,1.09,10.4,450,Good
928,32.4,81.8,16.6,30.3,19.3,13.6,1.68,3.8,588,Poor
929,29,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475,Moderate
930,21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280,Good
931,26.4,47.9,40.7,57.5,32.1,7,1.79,6.1,562,Moderate
932,23.1,56.3,31.4,33.8,15.1,5.8,1.02,10.5,300,Good
933,27.2,84.3,17.3,22.4,13,5.6,1.21,13,539,Good
934,23.2,54,2.9,8.8,24.4,0.6,1.04,12.5,372,Good
935,37.5,49.5,9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate
936,21.2,78,6,15.4,20.2,5.5,1.03,10.5,446,Good
937,25.2,52.1,1.6,4.8,21.1,4.6,1.1,11.7,230,Good
938,29.1,54.3,5.8,15.1,28,8.8,1.43,10.8,421,Moderate
939,26.8,81.2,0.9,5.7,20.3,6.6,0.93,11,409,Good
940,27.1,51.2,20.8,25.6,15.7,4.4,0.75,10.3,432,Good
941,38,78.8,1.3,9,23.8,0.8,2.54,5.3,755,Poor
942,29.6,89.1,19.4,30.7,35.4,24.7,1.74,15.4,748,Poor
943,48.4,91.7,24,42.3,37.5,29.3,2.35,2.9,924,Hazardous
944,31.2,64,15.7,25.3,28,13.2,1.59,7.6,485,Moderate
945,23.4,52.5,1.6,10.7,16.9,3.1,1.37,8.1,396,Moderate
946,25.6,49.6,0.1,3.9,22.8,4.9,1.02,13.8,575,Good
947,24.5,45.3,3.6,9,24.4,3.8,0.9,11.2,527,Good
948,22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good
949,23,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,Good
950,24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good
951,23.9,43,12.2,17.2,14.1,7.2,0.93,10.5,333,Good
952,22.2,56.3,6.7,13.5,21.4,4.9,1.11,12.3,348,Good
953,28.3,75.6,0.1,8.7,10.4,4,1.04,12.5,518,Good
954,20.4,43.9,11.8,15.9,25.7,9,1.06,13.8,480,Good
955,23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate
956,26.1,65.4,10.2,14,23.1,7.1,1.01,12.2,379,Good
957,41.9,81.3,11.4,23.3,31.2,11.5,1.98,5.5,459,Poor
958,34.6,65.2,47,59.9,24.4,15.6,2.15,7,771,Poor
959,45,115,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous
960,33.8,68.1,5.4,13.6,30.6,12.1,1.88,6.8,575,Moderate
961,25.6,57.4,2.2,6.4,12.2,5,1.19,18.9,392,Good
962,41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,Poor
963,34.9,76.2,7.3,17,24.4,2.9,1.59,10.2,660,Moderate
964,19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,Good
965,23,44.5,2.3,10.6,13.7,6.3,1.13,11.5,537,Good
966,30.5,76.2,26.8,46.5,40,9.3,2.4,9.9,624,Poor
967,39,107.1,11.2,29.4,44.6,19.3,3.65,2.8,713,Hazardous
968,22.8,76,12.3,22,27.1,12.2,1.54,12.1,577,Moderate
969,27.8,56.8,2.5,9.5,12.5,7,1.04,12.1,258,Good
970,29,81.3,60,76.1,24.2,5.8,1.05,6.4,511,Moderate
971,41.8,75.4,23.7,34.7,37.7,6.8,1.42,5.9,527,Poor
972,26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571,Moderate
973,30.7,81.9,0.5,11.4,26.4,20,1.71,5.2,650,Moderate
974,30.4,90.7,91.5,98.9,22.1,9.6,1.52,5.3,598,Moderate
975,28.1,93.7,35,50.7,46,19.4,1.66,4,487,Poor
976,25,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680,Hazardous
977,41.1,82.1,30,52.7,35.7,14.9,2.46,4,654,Poor
978,28.3,72.7,56.8,70.2,34.4,10.3,1.75,5.1,486,Poor
979,37.9,79.6,28,37.4,33.2,13.6,1.93,4.9,608,Poor
980,42.5,108.2,109.2,116.8,43.5,21.2,2.07,4.6,741,Hazardous
981,29.9,86.3,8.3,19.9,21,7.9,1.44,9.1,487,Moderate
982,32,101.4,60.3,78.5,45.4,25,3.01,4.3,698,Hazardous
983,33.8,53.7,11.2,30.1,25.8,10.6,1.23,5.3,640,Moderate
984,22,56.3,5.7,12.5,16.8,6.1,1.01,12.2,230,Good
985,21.3,41.7,6.9,10.9,21.2,3.7,1,12.8,298,Good
986,26.8,76.1,3.8,10.1,25.1,4.7,1.01,10.3,394,Good
987,22.6,70.7,0.8,7.4,26.3,1.8,1.07,10.8,481,Good
988,32.1,75.6,16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate
989,35.2,86.4,47.2,61,21.7,13.8,2.24,3.7,514,Poor
990,46.1,80.5,42.3,58.5,32.1,28.4,2.4,2.7,705,Hazardous
991,29.2,54,2.5,8.7,27.7,10.5,1.4,5.7,327,Moderate
992,26,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good
993,45.2,93.2,51.2,79.2,35.4,23.3,2.16,3.7,565,Hazardous
994,22.6,40.8,4.6,10.6,20.9,5.7,1.11,12.6,315,Good
995,24,51.2,14.1,16.5,26,7.4,0.97,10.2,264,Good
996,27.4,77.3,12.9,21.1,16.4,15.8,1.81,8,406,Moderate
997,32.6,79.6,42.8,51.4,14.1,13.3,1.55,7.5,633,Moderate
998,22.2,57.5,3.6,5.6,16.7,7.6,0.86,11.6,460,Good
999,31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,Moderate
1000,26.1,83.8,33.2,36.9,23.6,2.7,0.82,19.1,310,Good
1001,25.1,63.9,5,8.8,17.3,6.3,1.12,11,367,Good
1002,41.2,92.2,36.1,49.5,42.2,17.1,2.39,2.7,815,Hazardous
1003,37.1,47.9,18.1,26.7,20.4,14.7,1.53,10.3,467,Moderate
1004,25.8,53,14.7,20.4,13.2,5.7,0.82,11.1,259,Good
1005,30.4,44.2,7.8,11.4,22,5.9,0.92,11.3,446,Good
1006,35.6,82.5,1.8,11.9,20.6,14.6,1.63,10.1,672,Moderate
1007,28.2,75.4,1.2,13,35.9,2.6,1.42,5.5,539,Moderate
1008,22.6,69,1.2,7.7,12.2,5.6,1.18,11.8,481,Good
1009,16.9,72.9,1.3,0.2,27.6,6.4,0.97,13.7,339,Good
1010,15.3,48,16.6,20.7,26.5,3.9,0.94,12.5,263,Good
1011,38,84.6,34.2,62.4,43.8,17.8,2.62,6.7,598,Hazardous
1012,28.6,67.5,0.2,4.9,19,4.5,1.04,11.4,444,Good
1013,37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528,Hazardous
1014,16.8,46.5,7.7,10.2,26.2,4.2,0.85,11.6,249,Good
1015,24.8,39.7,5,13.2,20.3,5.8,1.1,10.5,418,Good
1016,27.1,76.4,8,13,21.7,3.4,0.86,10,407,Good
1017,30,78,9.7,14.5,15.5,7.2,1.05,12.3,554,Good
1018,27.5,65.9,19.3,31.5,24.6,7.2,1.74,5.4,609,Moderate
1019,34.9,80.9,21.4,32.8,50.8,16.6,2.11,3.8,797,Hazardous
1020,28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,Moderate
1021,22.7,79.5,1,8.1,12.2,6.5,1.03,12.4,439,Good
1022,20.3,52.3,2,6,25.1,4.7,0.95,13.4,277,Good
1023,35.3,71.2,12.9,39.3,34.8,14.1,2.42,5.7,401,Poor
1024,21.8,72.4,4,7.5,19.4,-0.3,1.15,12.2,490,Good
1025,32.8,51.2,23.8,29.2,35.6,7.4,1.48,8.9,586,Moderate
1026,38.7,72.4,3.4,23.9,25.4,22.6,2.27,3.9,765,Poor
1027,37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,Moderate
1028,29.4,73.1,11.7,28,24.5,13.2,1.51,8,459,Moderate
1029,38.8,64.6,21.5,31.9,21.2,9,1.48,5.8,545,Moderate
1030,30.5,74.7,17.5,22.8,26.3,9.9,1.61,7.9,441,Moderate
1031,23.3,81.8,27,34.6,33.4,14,1.65,5.3,505,Moderate
1032,31.3,49.2,7.2,14.9,29.3,11.9,1.37,6.7,340,Moderate
1033,26.5,42.4,4.7,14.1,18,1.7,0.94,12,457,Good
1034,20.7,77,15.2,20.3,15.8,3.7,0.96,16,368,Good
1035,21.6,46.5,6.5,15.7,21.8,7.8,1.03,15,602,Good
1036,26,64.3,22.6,38.3,33.3,14.4,1.48,7,359,Moderate
1037,28.1,65.8,3.1,8.6,14.6,5.2,0.86,10.9,370,Good
1038,27.4,61.2,24.3,32.1,23.8,4.8,0.98,11.6,345,Good
1039,21.9,60.3,0,3.1,20,3,0.92,10.3,396,Good
1040,21.8,70.4,16.5,22.3,24.1,1.9,0.94,12.3,420,Good
1041,40,84.4,47,59.3,22.4,3.1,1.51,6,453,Moderate
1042,19.8,75.8,1.5,6.7,28.9,10.9,0.94,6.7,636,Moderate
1043,29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,Moderate
1044,29.8,67.7,3.6,12.7,17,6.8,1.01,13.7,550,Good
1045,25.5,63,29.1,38.7,28.8,4.7,1.32,5.9,527,Moderate
1046,38.2,54.8,43.9,53.5,21.1,9,1.47,5,485,Moderate
1047,47.3,75.6,75.8,92,36.3,17.4,1.76,5,503,Poor
1048,29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520,Good
1049,47.2,76.9,1.5,27,34.4,20.2,2.45,6,939,Hazardous
1050,29.6,73.6,2.3,8.1,26,0.2,1.12,11.9,490,Good
1051,28.4,71.7,13.3,15,16.8,8.2,1.11,11.4,360,Good
1052,33.2,84.3,106.5,127.3,34.7,11.8,2.29,3.8,586,Poor
1053,26.3,49.6,6,8.9,24.2,9.8,1.06,10.6,199,Good
1054,30.7,102,7.9,26.1,41.6,26.1,2.31,4.8,765,Hazardous
1055,27.5,85,57.1,72.3,33.7,9.6,1.86,5.4,537,Moderate
1056,21,94.7,7.6,16.7,35.6,9.9,1.7,5.2,388,Poor
1057,34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,Poor
1058,33.7,83.2,1.6,25.2,34.3,12,2.59,6.2,551,Poor
1059,36.4,58,18.3,23.6,30.5,13.7,1.49,5.1,363,Moderate
1060,33.5,44.8,36.7,44.4,21,9.7,1.23,10.1,547,Moderate
1061,34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,Moderate
1062,37.8,74.6,19.6,29,22.2,12.7,1.4,5.2,417,Moderate
1063,23.1,71,4.9,9.9,17.7,4.4,1.01,11.8,342,Good
1064,29,39.7,8.9,16.2,26.2,4.2,0.97,15,250,Good
1065,24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,Good
1066,25.8,78.2,14,20.2,23.3,6.6,1.01,18.8,576,Good
1067,26.2,64.3,16.2,19.4,18.5,9,1.08,11.3,566,Good
1068,31.5,61.9,105.9,105,22.4,4.8,1.16,6.1,577,Moderate
1069,24.4,44.8,4.1,7.4,23.7,4,0.91,11.9,241,Good
1070,31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,Moderate
1071,26.7,72.4,4.2,16.3,18.9,11.7,1.45,12,527,Moderate
1072,29.7,54,0.2,7.6,15.6,4.4,0.93,10.8,401,Good
1073,23.6,47.8,3.8,6.4,14,3.3,1.09,10.4,209,Good
1074,32.2,62.7,1.5,7.6,19.7,4.3,0.95,10.3,348,Good
1075,24.9,66.8,7,11.8,24.5,8.9,0.93,10.2,388,Good
1076,42.8,78.6,31.8,44.5,32.4,26,1.98,3.8,598,Poor
1077,32.4,56,3.3,15.6,28.8,6.5,1.49,7.6,506,Moderate
1078,33.3,64.4,17,33.1,25.1,10.6,1.39,5.9,511,Moderate
1079,27.5,55.4,32.5,47,22.1,12.7,1.66,5.2,298,Moderate
1080,34.1,67.9,40.1,47.1,34.6,1,1.72,9.5,462,Moderate
1081,39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,Poor
1082,32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,Moderate
1083,36.3,84.9,5.3,14.1,33,16.5,1.9,5.3,718,Poor
1084,36.3,70,58.7,71.9,42.1,12.1,2.37,3.9,539,Poor
1085,24.2,68.2,2,6.3,20.3,8.2,1.04,10.5,267,Good
1086,36.4,82.7,19.7,36.6,39.2,15.9,1.72,9,782,Poor
1087,24.6,58,7.5,19,25.7,3.4,1.57,12.7,617,Moderate
1088,33.4,80.2,10.3,32.4,40.3,12.9,1.36,2.6,597,Hazardous
1089,28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,Moderate
1090,18.8,46.7,0.6,5.5,13.4,7,1.01,11.5,484,Good
1091,34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703,Poor
1092,24.1,60.2,6.3,12.2,30.8,17.6,1.44,8,353,Moderate
1093,33.6,57,3.4,8.2,17.6,3.5,1.12,13.1,297,Good
1094,42.7,70.1,123.7,128.1,28.7,2.4,1.89,4.2,765,Poor
1095,34.4,75.8,7.2,22.6,35.5,12,1.42,9.5,582,Moderate
1096,26.7,61.9,11.8,16.3,13,6.3,0.85,16.7,361,Good
1097,32.7,79.1,17.2,29.7,23.9,17,1.25,7.5,504,Moderate
1098,31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,Poor
1099,24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,Good
1100,25.2,88.9,22.3,44.2,34.1,17.5,2.33,4.4,578,Poor
1101,43,96.5,14.6,38.1,39.7,17.3,2.17,5.4,591,Hazardous
1102,39.9,112.1,37.2,54.7,50.8,21.8,2.58,2.8,556,Hazardous
1103,28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639,Poor
1104,30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,Poor
1105,33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,Moderate
1106,30.4,72.9,10.9,25.7,29.3,8.9,1.58,5.3,655,Moderate
1107,29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,Good
1108,28.4,45.1,9.7,15.9,23,6.5,0.99,12.6,303,Good
1109,44.6,94.9,78.9,98.3,40.6,23.9,2.44,4.3,670,Hazardous
1110,30,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,Moderate
1111,24.7,68.9,4.2,11.1,14.8,2.4,1.06,15.9,475,Good
1112,28.6,71.9,4.1,17.7,44.3,4.1,1.48,4.9,780,Poor
1113,32.3,87,54.7,69.9,56.1,26.6,2.5,2.7,801,Hazardous
1114,23.5,76.1,0.2,7.4,26.9,3.4,0.9,11.2,277,Good
1115,38,70.6,100,117.5,32.4,7,2.4,4.1,477,Poor
1116,31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689,Poor
1117,24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,Good
1118,21.6,77.6,5,10.6,17.6,2.5,0.94,11,591,Good
1119,29.3,77.1,14.5,19.8,14,2.9,1.07,11.6,361,Good
1120,29.2,77.9,12.9,21.4,24.7,12.6,1.39,6.4,640,Moderate
1121,26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387,Good
1122,31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,Moderate
1123,33.7,88.9,10.2,19,23.8,-0.3,1.7,8.3,405,Moderate
1124,35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870,Hazardous
1125,22.9,74.4,0,1.9,15.7,3.7,0.9,10.3,390,Good
1126,33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654,Moderate
1127,33.4,98.5,42.7,57.5,47.9,14.3,2.66,2.6,788,Hazardous
1128,35.8,65.9,58.2,83.7,40.2,13.8,2.09,4.1,413,Poor
1129,37,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,Poor
1130,22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,Good
1131,51.3,58,31.2,48.3,34.3,11.5,3.32,2.6,538,Hazardous
1132,32.5,55.8,1,13.5,34.3,9.7,1.84,6,325,Moderate
1133,29.2,65.3,30.6,34.2,22.6,6,1.11,16,334,Good
1134,31.2,76.6,23,36,23.4,12.5,1.39,6.2,384,Moderate
1135,37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,Poor
1136,27.6,89.6,14.9,33.8,24.3,8.7,1.53,6.3,582,Moderate
1137,26.8,58.5,39,46.5,27.4,8.6,1.59,5.5,466,Moderate
1138,38.3,103.6,12.4,27.7,25.4,11,1.87,3.8,441,Poor
1139,25.2,61.7,27.9,33.6,12.7,5.5,1.08,11.9,300,Good
1140,21.7,74.1,57.2,74.9,20.9,7.1,1.63,5,580,Moderate
1141,24.6,42.6,12,15.2,17.2,5.6,1.2,10.9,516,Good
1142,35.1,78.2,14,32.1,28.3,3,1.98,3.7,597,Poor
1143,22.3,41.6,11.6,16.2,15.3,2.1,1.04,12.2,236,Good
1144,30.6,76.2,1.5,15.1,32.6,29.2,1.87,8.4,715,Poor
1145,23.8,65.2,9.9,14.2,14.6,4.9,0.97,10.7,331,Good
1146,35.5,71.8,7.4,27.5,33.8,22.6,1.91,3.9,676,Poor
1147,27.4,69.9,5.9,9.5,25.2,5.7,0.89,11.9,589,Good
1148,34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate
1149,37,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,Poor
1150,37.2,94.4,20.8,37.1,29.5,10.8,1.66,8.3,531,Poor
1151,20,61.2,11.1,17.2,24.2,2.6,1.08,11.3,209,Good
1152,24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387,Good
1153,23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,Good
1154,41,60.7,26.9,56.7,38.4,13,2.25,3.5,673,Poor
1155,22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,Moderate
1156,40,90.4,5.4,24.6,36.4,15.3,1.85,4.8,561,Poor
1157,28,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,Good
1158,36.5,62,42.7,54.8,25.3,21.7,2.48,3.5,623,Poor
1159,31.3,56.1,2.3,11.6,21.1,9,1.41,10.9,588,Moderate
1160,30,67.1,2.2,7.8,39.2,17,2,5.2,793,Poor
1161,27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,Moderate
1162,31.6,81.1,18.7,30,31.6,12.3,1.45,5.5,664,Moderate
1163,25.7,71.4,13.9,18.5,22.2,6.4,1.41,7.7,520,Moderate
1164,22.3,49.8,14.4,18.5,16.5,4.3,1.1,15.4,500,Good
1165,22.7,73,33.6,38.6,30.8,14.2,1.72,10.7,576,Moderate
1166,48.9,62,12.2,35.7,45.4,22.7,2.27,2.7,865,Hazardous
1167,37.9,71,5.6,21,49.8,34.5,3,5,537,Hazardous
1168,28.1,64,11.7,13.8,15.4,3.4,0.93,11.5,373,Good
1169,23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,Good
1170,30.7,66.4,16.6,24.4,23.3,9.5,1.53,9.5,379,Moderate
1171,30.4,90.1,4.9,20.7,45,23.5,2.29,3.6,681,Hazardous
1172,38,77.7,49.8,65.9,42.7,17.2,2.02,6.2,750,Hazardous
1173,34.1,74.6,27,47.6,22.4,27.2,2.57,3.5,732,Poor
1174,32,75,2.5,12.8,32.3,4.3,1.39,5.6,546,Moderate
1175,31.5,72.2,31.2,62,32.2,16.1,2.7,3.1,747,Hazardous
1176,32,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454,Poor
1177,27.3,61.6,0.6,2.3,14,4.2,0.87,19,465,Good
1178,27.7,69.4,0.8,8.4,14.3,4.1,0.86,13.4,425,Good
1179,24,65.5,3.6,9.1,25.2,6.7,0.97,14.1,387,Good
1180,28.7,75.2,3.4,7.9,23.3,5,0.83,10.3,425,Good
1181,25.3,47.1,23.5,28.9,12.5,5.9,1.19,10.9,223,Good
1182,31.2,71.9,56.5,74.2,29.9,11.8,2.14,4,602,Poor
1183,34.3,94.8,12.6,30.7,52.7,17.5,2.02,4.5,934,Hazardous
1184,37.3,85,9.6,23.9,31.2,16.2,2.22,4.9,592,Poor
1185,32.4,76.4,22.2,30,23,10.2,1.47,7.6,331,Moderate
1186,21.6,50.3,3,6.7,22.7,3.3,1,10.1,223,Good
1187,22.1,73.9,4.6,14.5,32.4,22.2,2.1,6.8,492,Poor
1188,23.3,80.6,8.6,11.2,17.2,6.7,1.02,10.9,511,Good
1189,48.8,92,2.4,24.9,38.2,16.9,2.84,3.7,664,Hazardous
1190,26.4,52.2,18,25.6,22.8,5.9,1.12,10.4,539,Good
1191,28.7,41,5.9,10.7,19.7,8,1.01,11.6,387,Good
1192,39.6,87.7,2.8,12.5,28.9,2.8,2.05,3.8,692,Poor
1193,30.3,88.4,34.6,49.5,25.8,22.5,1.48,3.4,583,Poor
1194,28.3,59.6,26.3,36.6,17.7,9.4,1.45,6,278,Moderate
1195,29.7,88,3.9,13.9,36.8,10.3,1.7,6.9,457,Moderate
1196,32.4,95.7,0.7,5.8,43,21.2,1.87,3.9,525,Poor
1197,31.2,84,28.6,39.4,24.6,12.2,1.3,6.4,438,Moderate
1198,27.7,56.2,6.1,17.1,19.2,11.9,1.61,5.6,507,Moderate
1199,23.1,58.3,3.2,7.3,12.9,5.9,1.03,11.9,295,Good
1200,18,52.5,5.3,11.4,16.8,3.4,0.9,12.2,550,Good
1201,39.1,84.8,4.6,19.1,33.3,5.9,2.11,5.1,620,Poor
1202,25.6,79.9,2.3,5.6,22.3,7.1,0.87,10.5,516,Good
1203,20.3,67.1,8.6,12,10.7,3.3,0.97,10.3,286,Good
1204,39.2,84.3,80.5,107.9,32.5,24.6,2.37,4.8,450,Poor
1205,20.3,77.6,12.1,19.5,18,6.1,0.89,14.2,308,Good
1206,32.2,69.4,1.5,14.1,24.3,12.5,1.89,5.7,481,Moderate
1207,28.5,71,6.7,13.1,21.8,4,0.97,13.1,510,Good
1208,25.4,76.7,10.3,19.4,22.7,10.5,1.19,7.8,609,Moderate
1209,38.4,73.3,78.9,94.5,23.9,23,2.03,4.1,615,Poor
1210,31.9,66.3,38.8,40,30.6,9.3,1.55,6.2,381,Moderate
1211,44.2,79.7,4.9,23.6,34.4,18.1,1.76,4.1,724,Poor
1212,44.4,70,7.1,19.5,23.3,11.6,1.71,5.1,762,Poor
1213,28.8,49,0.4,9.3,35.2,7.3,1.43,5.4,553,Moderate
1214,53.1,57.3,72.3,84.6,45,6.4,1.95,3.2,857,Hazardous
1215,32.4,57.8,18,29.1,26.1,9.8,1.71,7.4,299,Moderate
1216,25.1,54.5,13.9,16.1,21.2,6.5,1.02,10.4,300,Good
1217,23.8,42.1,2.5,7.3,15.1,3.8,1.12,12.8,529,Good
1218,26.3,91.1,142.3,157,30.5,6.5,1.18,7.1,480,Moderate
1219,38.9,83.7,26.5,48.9,44,14.6,1.83,3.8,645,Poor
1220,32.2,55.6,9.9,20,25.2,14.1,1.75,6.1,516,Moderate
1221,33.9,63.1,2.2,11.7,21.1,17.9,2.55,8.9,680,Poor
1222,32.2,68.5,12,23.4,26.2,9.3,1.52,6.1,370,Moderate
1223,27.2,60.5,1.3,4.7,22.7,3.7,0.95,16.1,241,Good
1224,31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386,Moderate
1225,28.3,56.4,22.1,30.3,28,0.6,1.48,8.2,331,Moderate
1226,23.9,66.7,4.6,7.9,15.4,7.1,0.95,12.4,362,Good
1227,33.8,80.4,17.5,32.8,21.1,12.3,1.51,5,361,Moderate
1228,49.6,79.9,13.4,26.4,37.8,28.8,2.71,3.3,639,Hazardous
1229,32.3,72.8,3.4,30.6,42.3,2.8,2.04,4.5,636,Hazardous
1230,43,83.1,58.2,80.2,34.7,9.1,1.88,6,375,Poor
1231,34.7,80.3,2.8,10.9,17.2,8.8,1.56,5.2,324,Moderate
1232,37.7,107.5,22.7,53,37.1,25.3,2.58,5.1,543,Hazardous
1233,24.6,42.1,0.9,10.3,23.4,9.1,0.83,11.5,545,Good
1234,29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389,Moderate
1235,27.7,60.2,0.4,5.7,25.3,6.2,1.05,12.9,218,Good
1236,26.8,98.6,0.9,21.6,34.8,12.9,2,6.6,712,Poor
1237,30.1,75.1,20.5,33.4,28.2,5.4,1.44,6.2,648,Moderate
1238,22.3,65.7,1,5.7,26.8,3.5,0.91,13.3,282,Good
